total : 250
0	-	10000	:	4
10000	-	20000	:	4
20000	-	30000	:	14
30000	-	40000	:	19
40000	-	50000	:	10
50000	-	60000	:	11
60000	-	70000	:	7
70000	-	80000	:	8
80000	-	90000	:	14
90000	-	100000	:	8
100000	-	110000	:	8
110000	-	120000	:	5
120000	-	130000	:	2
130000	-	140000	:	6
140000	-	150000	:	10
150000	-	160000	:	11
160000	-	170000	:	9
170000	-	180000	:	5
180000	-	190000	:	6
190000	-	200000	:	9
200000	-	210000	:	3
210000	-	220000	:	16
220000	-	230000	:	4
230000	-	240000	:	8
240000	-	250000	:	5
250000	-	260000	:	4
260000	-	270000	:	6
270000	-	280000	:	4
280000	-	290000	:	5
290000	-	300000	:	6
310000	-	320000	:	2
330000	-	340000	:	4
340000	-	350000	:	3
350000	-	360000	:	3
390000	-	400000	:	2
420000	-	430000	:	1
440000	-	450000	:	1
550000	-	560000	:	1
620000	-	630000	:	1
1280000	-	1290000	:	1
