total : 855
10000	-	20000	:	2
20000	-	30000	:	9
30000	-	40000	:	48
40000	-	50000	:	68
50000	-	60000	:	112
60000	-	70000	:	132
70000	-	80000	:	116
80000	-	90000	:	103
90000	-	100000	:	59
100000	-	110000	:	33
110000	-	120000	:	35
120000	-	130000	:	33
130000	-	140000	:	22
140000	-	150000	:	12
150000	-	160000	:	11
160000	-	170000	:	8
170000	-	180000	:	7
180000	-	190000	:	5
190000	-	200000	:	9
200000	-	210000	:	2
210000	-	220000	:	4
220000	-	230000	:	5
230000	-	240000	:	1
240000	-	250000	:	4
250000	-	260000	:	1
260000	-	270000	:	2
280000	-	290000	:	3
320000	-	330000	:	1
360000	-	370000	:	2
380000	-	390000	:	1
390000	-	400000	:	1
430000	-	440000	:	1
440000	-	450000	:	1
520000	-	530000	:	1
540000	-	550000	:	1
