total : 1050
30000	-	40000	:	8
40000	-	50000	:	15
50000	-	60000	:	21
60000	-	70000	:	32
70000	-	80000	:	37
80000	-	90000	:	49
90000	-	100000	:	66
100000	-	110000	:	46
110000	-	120000	:	61
120000	-	130000	:	75
130000	-	140000	:	56
140000	-	150000	:	67
150000	-	160000	:	55
160000	-	170000	:	43
170000	-	180000	:	38
180000	-	190000	:	36
190000	-	200000	:	54
200000	-	210000	:	6
210000	-	220000	:	43
220000	-	230000	:	22
230000	-	240000	:	21
240000	-	250000	:	23
250000	-	260000	:	10
260000	-	270000	:	8
270000	-	280000	:	8
280000	-	290000	:	17
290000	-	300000	:	15
300000	-	310000	:	2
310000	-	320000	:	8
320000	-	330000	:	2
330000	-	340000	:	5
340000	-	350000	:	9
350000	-	360000	:	6
360000	-	370000	:	5
370000	-	380000	:	4
380000	-	390000	:	8
390000	-	400000	:	14
400000	-	410000	:	3
410000	-	420000	:	2
420000	-	430000	:	1
430000	-	440000	:	3
440000	-	450000	:	2
450000	-	460000	:	2
460000	-	470000	:	2
470000	-	480000	:	1
480000	-	490000	:	4
490000	-	500000	:	7
520000	-	530000	:	2
530000	-	540000	:	1
580000	-	590000	:	1
590000	-	600000	:	2
610000	-	620000	:	2
640000	-	650000	:	2
680000	-	690000	:	1
690000	-	700000	:	1
790000	-	800000	:	1
810000	-	820000	:	1
820000	-	830000	:	1
840000	-	850000	:	2
870000	-	880000	:	1
900000	-	910000	:	1
970000	-	980000	:	1
1120000	-	1130000	:	1
1260000	-	1270000	:	1
1280000	-	1290000	:	1
1330000	-	1340000	:	1
1490000	-	1500000	:	1
1550000	-	1560000	:	1
1880000	-	1890000	:	1
2080000	-	2090000	:	1
