total : 642
10000	-	20000	:	1
20000	-	30000	:	3
30000	-	40000	:	25
40000	-	50000	:	54
50000	-	60000	:	72
60000	-	70000	:	89
70000	-	80000	:	90
80000	-	90000	:	75
90000	-	100000	:	54
100000	-	110000	:	26
110000	-	120000	:	24
120000	-	130000	:	28
130000	-	140000	:	22
140000	-	150000	:	14
150000	-	160000	:	6
160000	-	170000	:	7
170000	-	180000	:	3
180000	-	190000	:	9
190000	-	200000	:	10
200000	-	210000	:	1
210000	-	220000	:	4
220000	-	230000	:	7
230000	-	240000	:	1
240000	-	250000	:	3
260000	-	270000	:	2
270000	-	280000	:	1
280000	-	290000	:	1
290000	-	300000	:	4
320000	-	330000	:	1
330000	-	340000	:	1
340000	-	350000	:	2
440000	-	450000	:	2
